product_name,name_similarity,nrn_exact_match,nrn_format_valid,nrn_similarity,name_nrn_mismatch,label
Accesslife Tramadol Capsules,1.0,0,1,0.8889,1,0
Lisin10 Tablets,0.9677,1,1,1.0,0,0
Actrapid FlexPen 100 IU,1.0,0,1,0.8571,1,0
Apitol Caplets Caplet Cyproheptadine Hydrochloride 4,1.0,1,1,1.0,0,1
"Verorab Rabies Vaccine, Inactivated",1.0,1,1,1.0,0,1
Dolburg 50,1.0,0,1,0.8571,1,0
Mixtard 30 vial 100 IU/mL,1.0,1,1,1.0,0,1
Poliomyelitis (Live) Vaccine Type I Type III (Human Diploid Cell) Oral,1.0,1,1,1.0,0,0
Actrapid FlexPen 100I U,0.9565,1,1,1.0,0,0
Lantus Solution for Injection in a Vial,1.0,0,1,0.8571,1,0
Simulect,1.0,1,1,1.0,0,1
Talibex Ciprofloxacin Tablets,1.0,1,1,1.0,0,1
"Binocrit 2,000 IU/1 mL Solution for Injection in a Pre-Filled Syringe",1.0,0,1,0.8889,1,0
Crestor 20 mg Tablets,1.0,1,1,1.0,0,1
Meningococcal A Conjugate Vaccine 5 mcg,1.0,1,1,1.0,1,0
Menotsa HP 75,0.9231,1,1,1.0,0,0
Erbitux Solution for Infusion,1.0,1,1,1.0,0,1
Recombinant Hepatitis B Vaccine 0.5 mL (Pediatric),1.0,0,1,0.8889,1,0
Ocrevus,1.0,0,1,0.8889,1,0
Wosulin N Suspension for Injection 100 IU/mL Vial,1.0,0,1,0.8571,1,0
NovoRapid FlexPen 100 units/mL Solution for Injection in Pre-Filled Pen,1.0,1,1,1.0,0,1
Czartan 25 Tablets,1.0,1,1,1.0,0,1
Priorix Tetra,1.0,1,1,1.0,0,1
Alpen Injection,0.9677,1,1,1.0,0,0
Poliomyelitis (Live) Vaccine Type I Type III (Human Dipoid Cell) Oral,0.9928,1,1,1.0,0,0
Enspryng Solution for Injection,1.0,1,1,1.0,0,1
Rhoclone 300 mcg,1.0,0,1,0.8571,1,0
"Binocriit 8,000 IU/0.8 mL Solution for Injection in a Pre-Filled Syringe",0.993,1,1,1.0,0,0
Cika Dexamethhasone Tablets,0.9811,1,1,1.0,0,0
Typbar TCV (Typhoid Vi conjugate vaccine),1.0,1,1,1.0,0,1
