product_name,full_listing_text,nrn,category,source_url
Actemra 162 mg,Actemra 162 mg** Solution for injection Tocilizumab 162 mg/0.9 mL NRN: A6-100070,A6-100070,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/6931
Actemra 200 mg,Actemra 200 mg** Concentrate for solution for infusion Tocilizumab 200 mg/10mL NRN: A6-100067,A6-100067,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/6932
Actemra 400 mg,Actemra 400 mg** Concentrate for solution for infusion Tocilizumab 400 mg/20 mL NRN: A6-100066,A6-100066,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/6933
NovoRapid FlexPen 100 units/mL Solution for Injection in Pre-Filled Pen,NovoRapid FlexPen 100 units/mL Solution for Injection in Pre-Filled Pen** Solution for injection Insulin aspart 100 IU/mL NRN: A6-0207,A6-0207,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/6997
Polio Sabin Bivalent Oral Poliomyelitis Vaccine Types 1 and 3 (BOPV),Polio Sabin Bivalent Oral Poliomyelitis Vaccine Types 1 and 3 (BOPV)** Suspension/Drops Poliomyelitis vaccine (OPV) (live attenuated) see Composition NRN: A6-0082,A6-0082,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/6999
Synflorix 4-Dose Vial,Synflorix 4-Dose Vial** Suspension for injection Pneumococcal polysaccharide conjugate vaccine (adsorbed) see Composition NRN: A6-0492,A6-0492,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7002
Priorix Vaccine,"Priorix Vaccine** Freeze-dried powder for injection Measles, Mumps, and Rubella (MMR) vaccine, Live see Composition NRN: A6-0192",A6-0192,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7010
Varilrix Vaccine,"Varilrix Vaccine** Powder for injection Varicella-zoster vaccine, Live attenuated 0.5 mL NRN: A6-0191",A6-0191,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7013
Cervarix Vaccine,"Cervarix Vaccine** Suspension for injection Human papillomavirus bivalent (types 16 & 18) L1 protein vaccine, recombinant 20 mcg/0.5 mL; 20 mcg/0.5 mL NRN: A6-0012",A6-0012,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7016
Havrix 1440 Vaccine,"Havrix 1440 Vaccine** Suspension for injection Hepatitis A vaccine, Inactivated 1440 Elisa Units/mL NRN: A6-0444",A6-0444,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7023
Mendoz Meningitis Vaccine,Mendoz Meningitis Vaccine** Freeze-dried powder for injection Meningococcal ACWY polysaccharide vaccine (MPSV4) see Composition NRN: A6-100137,A6-100137,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7028
Rotarix Oral Suspension Applicator,"Rotarix Oral Suspension Applicator** Suspension Rotavirus vaccine (live, oral, monovalent) see Composition NRN: A6-0136",A6-0136,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7030
Engerix B 20 (Adult) Vaccine,Engerix B 20 (Adult) Vaccine** Suspension for injection Hepatitis B vaccine 20 mcg/mL NRN: A6-0041,A6-0041,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7032
Menactra Vaccine,Menactra Vaccine** Solution for injection Meningococcal ACWY conjugate vaccine (MenACWY) 0.5 mL NRN: A6-0407,A6-0407,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7033
Zarzio 30 MU/0.5 mL,Zarzio 30 MU/0.5 mL** Solution for injection/infusion Filgrastim 30 MU/0.5 mL NRN: A6-100053,A6-100053,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7037
Zarzio 48 MU/0.5 mL,Zarzio 48 MU/0.5 mL** Solution for injection/infusion Filgrastim 48 MU/0.5 mL NRN: A6-100055,A6-100055,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/7038
