product_name,nrn,label,fake_type
Accesslife Tramadol Capsules,A4-100953,0,nrn_tamper
Lisin10 Tablets,A4-1528,0,name_typo
Actrapid FlexPen 100 IU,A6-0469,0,nrn_tamper
Apitol Caplets Caplet Cyproheptadine Hydrochloride 4,A11-100260,1,genuine
"Verorab Rabies Vaccine, Inactivated",A6-0154,1,genuine
Dolburg 50,A4-9361,0,nrn_tamper
Mixtard 30 vial 100 IU/mL,A6-0071,1,genuine
Poliomyelitis (Live) Vaccine Type I Type III (Human Diploid Cell) Oral,A6-100119,0,nrn_tamper
Actrapid FlexPen 100I U,A6-0449,0,name_typo
Lantus Solution for Injection in a Vial,A6-6109,0,nrn_tamper
Simulect,A6-0405,1,genuine
Talibex Ciprofloxacin Tablets,B4-6686,1,genuine
"Binocrit 2,000 IU/1 mL Solution for Injection in a Pre-Filled Syringe",A6-100113,0,nrn_tamper
Crestor 20 mg Tablets,A4-5404,1,genuine
Meningococcal A Conjugate Vaccine 5 mcg,A6-100067,0,nrn_tamper
Menotsa HP 75,A6-100102,0,name_typo
Erbitux Solution for Infusion,A6-0438,1,genuine
Recombinant Hepatitis B Vaccine 0.5 mL (Pediatric),A3-100103,0,nrn_tamper
Ocrevus,A6-300051,0,nrn_tamper
Wosulin N Suspension for Injection 100 IU/mL Vial,A6-8239,0,nrn_tamper
NovoRapid FlexPen 100 units/mL Solution for Injection in Pre-Filled Pen,A6-0207,1,genuine
Czartan 25 Tablets,B4-3978,1,genuine
Priorix Tetra,A6-0145,1,genuine
Alpen Injection,B4-3655,0,name_typo
Poliomyelitis (Live) Vaccine Type I Type III (Human Dipoid Cell) Oral,A6-100119,0,name_typo
Enspryng Solution for Injection,A6-100128,1,genuine
Rhoclone 300 mcg,A6-0108,0,nrn_tamper
"Binocriit 8,000 IU/0.8 mL Solution for Injection in a Pre-Filled Syringe",A6-100116,0,name_typo
Cika Dexamethhasone Tablets,A11-100226,0,name_typo
Typbar TCV (Typhoid Vi conjugate vaccine),A6-100142,1,genuine
Rhoclone 300 mcg,A6-0138,1,genuine
Trovedol 12.5,B4-3210,0,name_typo
Zarzio 330 MU/0.5 mL,A6-100053,0,name_typo
Talibex Ciprofloxacin Tableets,B4-6686,0,name_typo
Levemir FlexPen,A6-0206,1,genuine
Insulatard FlexPen 100 IU,A6-0450,1,genuine
Sealmet 1000 Tablet,A4-100155,1,genuine
Pasurta 70 mg/mL Solution for Injection in a Prefilled Syringe,A6-100008,1,genuine
Micrera 50 mcg,A6-0121,0,name_typo
Hemlibra 30 mg,A6-100132,1,genuine
Folisurge 75 IU Injection,A6-0509,1,genuine
Enspryng Solution for Injetion,A6-100128,0,name_typo
Engeix B 20 (Adult) Vaccine,A6-0041,0,name_typo
Actrapid 100 IU/mL Vial,A6-0069,1,genuine
Recormon (Epoetin Beta 4000 IU/03.mL),A6-0170,0,nrn_tamper
GONAL-f Injection PPre-Filled Pen 900 IU,A6-0412,0,name_typo
Stamaril Vaccine,A6-0119,0,nrn_tamper
Niimenrix Vaccine,A6-0259,0,name_typo
Glucophage 1000 mg Tabllet,04-6234,0,name_typo
GONAL-f Injection Pe-Filled Pen 300 IU,A6-0410,0,name_typo
Actemra 162 mg,A4-100070,0,nrn_tamper
"MRBEV - Measles and Rubella Vaccine (Live) (Attenuated, Freeze Dried) Five Dose Vial - 5 mL",A6-100191,1,genuine
NovoMix 30 FlexPen 100 U/mL Suspension for Injection in Pre-Filled Pen,A6-0204,1,genuine
Torvedol 6..25,B4-3209,0,name_typo
Tecentriq 840 mg/14 mL,A6-100033,1,genuine
Foliculin 75 HP Inejction,A6-0235,0,name_typo
Adsobred Td Vaccine,A6-100049,0,name_typo
Telmisartan 80 Tablet,A4-190145,0,nrn_tamper
Zopen tInjection,A4-5639,0,name_typo
GARDASIL Suspension for Intramuscular Injection,A6-100120,1,genuine
Wosulin N Suspension for Injection 100 IU/mL Cartridge,A6-0333,1,genuine
Unigyl 200 Tablet,04-1426,0,nrn_tamper
Typbar Vi Capsular Polysacchaaride Typhoid Vaccine,A6-0446,0,name_typo
Recombinant Hepatitis B Vaccine 0.5 mL (Pediatric),A6-100103,1,genuine
Prazivin Tablets,A4-4769,0,nrn_tamper
Pneumosil Vaccine 0.5 mL,A6-100188,1,genuine
Seealmet 1000 Tablet,A4-100155,0,name_typo
Zabdeno suspension for injection,A6-108111,0,nrn_tamper
Caafekris,A11-100335,0,name_typo
"Binocrit 4,000 IU/0.4 mL Solution for Injection in a Pre-Filled Syringe",A6-100115,1,genuine
Priorix Vaccine,A6-0192,0,nrn_tamper
Crestor 5 mg Tablets,A4-5402,1,genuine
Pentabio (DTwP-H-Hib) Vaccine (1 dose),A6-100062,0,name_typo
Vintor 2000 Injection,A6-0077,1,genuine
Simponi 100 mg solution for injection PFP,A6-0574,0,nrn_tamper
Wosulin R Insulin Human Injection,A2-0240,0,nrn_tamper
Actemra 162m g,A6-100070,0,name_typo
AG Spironolactone,A4-100160,1,genuine
Humulin N Injection Vial,A6-0149,1,genuine
Avelox Intravenous Infusion,A4-3293,0,nrn_tamper
Cafekris,A11-110335,0,nrn_tamper
Vaxxitek HVT + IBD Vaccine,A6-0151,1,genuine
Albendazole 200,A11-000325,0,nrn_tamper
AG Spironolactone,A4-150160,0,nrn_tamper
GlucaGen HypKit 1 mg,A6-0445,0,name_typo
Chovastin  10 mg,A4-9757,0,name_typo
Pentabio (DTwP-HB-Hib) Vaccine (1 dose),A6-100162,0,nrn_tamper
TrustMed Tablet,A2-591465,0,fabricated
Vabysmmo,A6-100124,0,name_typo
Menotas HP 150,A6-100103,0,nrn_tamper
Insuget-N NPH (Human Insulin - rDNA Origin) Injection 100 IU/mL,A6-000185,0,nrn_tamper
Actemra 200 mg,A6-100067,0,nrn_tamper
Actemra 162 mg,A6-100070,1,genuine
Aazit Tablets,A4-100147,0,name_typo
Cika Dexamethasone Tablets,A11-100222,0,nrn_tamper
Humulin R Solution for Injeciton in Cartridge,A6-0271,0,name_typo
Vabysmo,A6-100124,1,genuine
Synflorix 4-Dose Vial,A6-0492,1,genuine
Nimenrix Vaccine,A6-0059,0,nrn_tamper
Humalog KwikPen Mix25 Suspension for Injection,A6-0618,1,genuine
Spnotone-25 Tablets,A4-7782,0,name_typo
Mixtard 30 vial 100 IU/mL,A6-0031,0,nrn_tamper
Tresba FlexTouch 100U/mL,A6-0484,0,name_typo
Foliculin 75 HP Injection,A6-0235,1,genuine
Wosulin 30/70 Biphasic Isophane Human Insulin,A6-0138,0,nrn_tamper
Havrix 1440V accine,A6-0444,0,name_typo
Telmisartan & Hydrochlorothiazide Tablets USP,A4-100167,1,genuine
Uniygl 400 Tablet,A11-0330,0,name_typo
Amikacin Injection,BA-0966,0,nrn_tamper
Czartan 25 Tablets,B4-1978,0,nrn_tamper
Humog 510 HP Injection,A6-0233,0,name_typo
Pneumosil Vaccine 2.5 mL,A6-100189,1,genuine
Chovastin 20 mg,A4-9756,1,genuine
Regen-D 60,A6-0032,0,nrn_tamper
Regen-D 60,A6-0032,1,genuine
Humalog KwikPen Mix25 Suspension for Injection,A6-4618,0,nrn_tamper
Folisurge 1200 IU Injection,A6-0510,1,genuine
Norprazole Capsules,B4-5321,0,nrn_tamper
G-Clav Injection,A4-6099,1,genuine
Megalis 20 Tablets,B4-4244,0,nrn_tamper
TypbarV i Capsular Polysaccharide Vaccine 0.5,A6-0146,0,name_typo
Apidra 100 IU/mL Solution for Injection in a Vial,A6-0366,1,genuine
Hemlibra 330 mg,A6-100132,0,name_typo
Wosulin 30/70 Biphasic Isophane Insulin Human Injection,A6-0234,0,nrn_tamper
Tecentriq 840 mg/14 L,A6-100033,0,name_typo
"MRBEV - Measles and Rubella Vaccine (Live) (Attenuated, Freeze Dried) Five Dose Vial - 2.5 mL",A6-100192,1,genuine
NovoSeven 1 mg (50 KIU) powder and solvent for solution for injection,A6-0565,1,genuine
Artemether Injection,A4-7799,0,nrn_tamper
U-Tryp-Injection,A6-0594,0,nrn_tamper
Coxiget 200 mg,B4-1150,0,nrn_tamper
GARDASIL Suspension for Intramuscular Injection,A6-110120,0,nrn_tamper
Cika Doxycycline Capsule,A11-109225,0,nrn_tamper
Getryl 2 mg Tablets,A4-4223,0,nrn_tamper
Marchept (Freeze Dried Live Attenuted),A6-100129,0,name_typo
VitaBoost Capsule,A5-560485,0,fabricated
Elaxim 52.5 Injection,A6-0086,1,genuine
Insulinagypt 70/30 (100 IU/mL) Suspension for Injection in Vial,A6-100130,0,nrn_tamper
Stalong 10 mg Tablet,B4-9155,0,nrn_tamper
Herceptin Solution for Injection (for Subcutaneous Use),A6-0481,1,genuine
Telmisartan 80 Tablet,A4-100145,1,genuine
Tadalafil20 mg,A4-100141,0,name_typo
Fluconazole Capsules,B4-5731,1,genuine
Hanmal,B4-4875,1,genuine
Apitol Tablets,A4-3376,1,genuine
Ibulife,B4-3418,1,genuine
Silamac 100 Tablet,B4-4546,1,genuine
Rotasiil Liquid,A6-100122,1,genuine
Dolbrug 50,A4-9351,0,name_typo
NovoRapid FlexPen 100 units/mL Solution for Injection in Pre-Filled Pen,A1-0207,0,nrn_tamper
Apidra 100 IU/mL Solution for Injection in a Vial,A6-0364,0,nrn_tamper
Avaxim 80 U Pediatric Suspension for Injection in a Prefilled Syrine,A6-0459,0,name_typo
Stalong 10 mg Tablet,B4-1155,1,genuine
Avromal DS Tablets,A4-4532,1,genuine
Tadalafil 20 mg,A4-100941,0,nrn_tamper
Rosuvaastatin Tablets,B4-4591,0,name_typo
Pneumosil Vaccine 0.5 mL,A5-100188,0,nrn_tamper
Lantus SoloStar Solution for Injection in a Pre-Filled Pen,A6-0139,1,genuine
Adsorbed Td Vaccine,A6-105049,0,nrn_tamper
Priorix Vaccine,A6-0192,1,genuine
Afrixime CLV 325 Tablets,B4-4802,1,genuine
Crestor 10 mg Tablets,A4-5453,0,nrn_tamper
MabThra 100 mg Concentrate for Solution for Infusion,A6-0266,0,name_typo
Zoleric CCapsules,A4-2862,0,name_typo
Candesartan 16 mg Tables,B4-5707,0,name_typo
Albendazole 200,A11-100325,1,genuine
Acizip-100 Tablets Tablet Acclofenac 100 mg,B4-4804,0,name_typo
Mircera 7 mcg,A6-0106,0,name_typo
Lantus oSloStar Solution for Injection in a Pre-Filled Pen,A6-0139,0,name_typo
Humalog 100 U/mL KwikPen Solution for Injection,A6-0617,1,genuine
Crestor 10 mg Tablets,A4-5403,1,genuine
Tetanus Antitoxin (Equine) for Human Use Injection,A4-100064,0,nrn_tamper
Ocrevus,A6-100051,1,genuine
Acizip-100 Tablets Tablet Aceclofenac 100 mg,B6-4804,0,nrn_tamper
Saxenda 6 mg/mL Solution for Injection in Pre-filled Pen,A6-100004,1,genuine
Simponi Solution for Injection in Prefilled Pen,A6-100194,0,nrn_tamper
Lofnac 100 Tablets,04-7290,1,genuine
Avromal DS Tablets,A4-4532,0,nrn_tamper
Kadcyla Powder ofr Concentrate for Solution for Infusion 160 mg,A6-100105,0,name_typo
AciguardAntacid Suspension,04-4753,0,name_typo
Revac-B 10 mL Multi-dose,A6-0406,0,nrn_tamper
Rabisin Suspension for Injection,A6-0035,0,nrn_tamper
Acyclovir Ointment,A11-100229,0,nrn_tamper
Simulect,A6-0435,0,nrn_tamper
Revac-B 1 mL Single Dose,A6-0147,1,genuine
Mvabea suspension for injection,A6-700118,0,nrn_tamper
Crestor 5 mg Tablets,A4-5402,0,nrn_tamper
Foliculin 150 HP Ijnection,A6-0236,0,name_typo
Methocarbamol 500 Tablet,A4-100146,1,genuine
Rosuvastatin Tablets,B4-4511,0,nrn_tamper
"MRBEV - Measles and Rubella Vaccine (Live) (Attenuated, Freeze Dried) Five Dose Vial - 5 mL",A6-108191,0,nrn_tamper
Tresiba FlexTouch 100U/mL,A6-0784,0,nrn_tamper
Agcef Tablet,A4-100138,1,genuine
G-Clav Injection,A4-6090,0,nrn_tamper
Cikagyl 400 Tablet,A11-100255,1,genuine
Stalong 20 mg Tablets,B4-1154,0,nrn_tamper
U-Tryp-Injection,A6-0544,1,genuine
Torplatt-75,B3-5041,0,nrn_tamper
Pentabio (DTwP-HB-Hib) Vaccine (5 dose),A6-100069,1,genuine
Erbittux Solution for Infusion,A6-0438,0,name_typo
Spinotone-50 Tablets,B4-5201,1,genuine
Afrixime CLV 325 Tablets,B4-4808,0,nrn_tamper
Adaacel Polio Vaccine,A6-100058,0,name_typo
Crestor 10 mg Tabletts,A4-5403,0,name_typo
Ovitrelle 250 micorgrams Solution for Injection in Prefilled Syringe,A6-0437,0,name_typo
Glucophage 1000 mg Tablet,04-6234,1,genuine
Zopent Injection,A4-4639,0,nrn_tamper
Mircera 50 mcg,A6-3121,0,nrn_tamper
Zabdeno suspension  for injection,A6-100111,0,name_typo
Basagine Injection 100 units/mL,A6-100590,0,nrn_tamper
Amlodipine Tablets,A11-0275,1,genuine
Tetanus Antitoxin (Equine) for Human Use Injection,A6-100064,1,genuine
Crestor 20 g Tablets,A4-5404,0,name_typo
Mircera 75 mcg,A6-0106,1,genuine
Meningococcal A ConjugateVaccine 5 mcg,A6-100060,0,name_typo
Prazivin Tablets,A4-7769,1,genuine
HuCog 5000 HP Injection,A6-0234,1,genuine
MenQuadfi Vacine,A6-100059,0,name_typo
Kadcyla Powder for Concentrate for Solution for Infusion 100 mg,A6-0506,1,genuine
Mvabea suspension forinjection,A6-100118,0,name_typo
Mixtard 30 vila 100 IU/mL,A6-0071,0,name_typo
Herceptin Solution for Injection (for Subcutaneous Use),A6-0381,0,nrn_tamper
MiracleVax Injection,A8-174637,0,fabricated
Megalis 10 Tablets,B4-4340,1,genuine
Elaxim-40,A6-0085,1,genuine
Tetanus Antittoxin (Equine) for Human Use Injection,A6-100064,0,name_typo
GOONAL-f Injection Pre-Filled Pen 450 IU,A6-0411,0,name_typo
Torvedol 6.25,B9-3209,0,nrn_tamper
Coxigt 400 mg,B4-6149,0,name_typo
Zarzio 30 MU/0.5 mL,A0-100053,0,nrn_tamper
Spinotone-25 Tablets,A4-7782,1,genuine
Megalis2 0 Tablets,B4-4214,0,name_typo
Apidra 100 IU/mL Solution for Injectionin a Vial,A6-0366,0,name_typo
Ovitrelle 250 micrograms Solution for Injection in Prefilled Syringe,A6-0467,0,nrn_tamper
Stalong 20 mg Tablets,B4-1154,1,genuine
Aciguard Antacid Suspension,04-4753,1,genuine
Reavc-B 10 mL Multi-dose,A6-0456,0,name_typo
Zarzio 4 MU/0.5 mL,A6-100055,0,name_typo
